year,month,volumn
1990,1,1199.87
1990,2,1214.54
1990,3,1138.17
1990,4,1061.09
1990,5,1064.13
1990,6,1113.13
1990,7,1163.86
1990,8,1227.8
1990,9,1303.67
1990,10,1493.49
1990,11,1598.42
1990,12,1613.31
1991,1,1289.8
1991,2,1336.9
1991,3,1257.73
1991,4,1152.58
1991,5,1139.07
1991,6,1232.28
1991,7,1201.9
1991,8,1317.45
1991,9,1333.63
1991,10,1489.18
1991,11,1551.77
1991,12,1499.64
1992,1,1251.72
1992,2,1233.44
1992,3,1139.05
1992,4,1104.56
1992,5,1076.76
1992,6,1114.29
1992,7,1106.33
1992,8,1154.76
1992,9,1250.01
1992,10,1427.86
1992,11,1466.11
1992,12,1457.76
1993,1,1260.84
1993,2,1227.41
1993,3,1137.78
1993,4,1075.25
1993,5,1061.28
1993,6,1137.77
1993,7,1148.55
1993,8,1241.06
1993,9,1303.56
1993,10,1497.98
1993,11,1497.66
1993,12,1473.26
1994,1,1264.0
1994,2,1208.97
1994,3,1181.79
1994,4,1071.91
1994,5,1044.15
1994,6,1125.53
1994,7,1157.46
1994,8,1235.79
1994,9,1317.08
1994,10,1476.82
1994,11,1478.22
1994,12,1499.8
1995,1,1292.48
1995,2,1190.67
1995,3,1154.34
1995,4,1131.19
1995,5,1123.16
1995,6,1179.46
1995,7,1178.73
1995,8,1227.27
1995,9,1286.44
1995,10,1444.93
1995,11,1486.35
1995,12,1546.87
1996,1,1250.22
1996,2,1266.57
1996,3,1235.01
1996,4,1137.7
1996,5,1164.67
1996,6,1204.91
1996,7,1179.39
1996,8,1297.17
1996,9,1377.36
1996,10,1514.84
1996,11,1606.16
1996,12,1633.81
1997,1,1327.62
1997,2,1315.85
1997,3,1278.6
1997,4,1177.93
1997,5,1168.54
1997,6,1218.9
1997,7,1179.75
1997,8,1319.61
1997,9,1380.43
1997,10,1554.09
1997,11,1621.93
1997,12,1632.32
1998,1,1437.32
1998,2,1406.26
1998,3,1329.8
1998,4,1273.98
1998,5,1285.38
1998,6,1330.12
1998,7,1308.14
1998,8,1412.13
1998,9,1451.14
1998,10,1591.99
1998,11,1643.83
1998,12,1631.53
1999,1,1408.55
1999,2,1376.28
1999,3,1285.21
1999,4,1275.27
1999,5,1294.05
1999,6,1300.03
1999,7,1293.76
1999,8,1350.04
1999,9,1399.74
1999,10,1579.78
1999,11,1581.16
1999,12,1614.78
2000,1,1477.59
2000,2,1436.91
2000,3,1367.41
2000,4,1391.38
2000,5,1304.64
2000,6,1370.49
